datetime,temperature_2m,relative_humidity_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi
2024-01-01 00:00:00,6.15,98.969955,992.6946,0.0,100.0,3.4152596,161.56496,260.8,375.3,4925.0,154.8,51.5,11.0,272.10837
2024-01-01 01:00:00,6.05,98.28713,992.5879,0.0,100.0,2.2768397,161.56496,260.8,375.3,4687.0,147.0,41.1,6.0,272.72916
2024-01-01 02:00:00,6.35,98.97162,992.61633,0.0,100.0,2.1897945,260.53775,239.3,344.6,4326.0,132.2,32.1,8.0,273.39163
2024-01-01 03:00:00,6.15,99.6556,992.6946,0.0,100.0,3.096837,305.53775,208.6,299.0,3733.0,103.5,26.4,24.0,273.42917
2024-01-01 04:00:00,6.55,97.282684,992.538,0.0,100.0,3.096837,305.53775,196.0,281.3,3016.0,67.8,22.2,48.0,273.07916
2024-01-01 05:00:00,6.3,98.290535,992.3196,0.0,100.0,2.8116899,320.1945,155.1,222.6,2139.0,36.5,16.1,54.0,273.30832
2024-01-01 06:00:00,6.95,98.63741,992.9653,0.0,100.0,3.6179552,354.2895,151.8,218.4,2102.0,36.4,18.6,59.0,272.05
2024-01-01 07:00:00,7.2,97.63095,993.47577,0.0,100.0,3.219938,26.564985,153.7,220.7,2053.0,36.3,22.0,66.0,270.925
2024-01-01 08:00:00,7.9,98.64765,994.2234,0.0,100.0,2.8116899,39.805527,156.0,224.4,2024.0,36.0,23.9,77.0,269.9167
2024-01-01 09:00:00,9.2,97.99814,994.7347,0.0,100.0,2.8116899,50.194473,159.3,228.6,2040.0,35.8,22.9,92.0,268.94583
2024-01-01 10:00:00,9.9,98.668816,995.1894,0.0,100.0,3.0547013,44.999897,163.4,234.2,2076.0,35.4,20.4,112.0,268.1917
2024-01-01 11:00:00,10.7,98.02153,994.77637,0.0,100.0,2.8116899,39.805527,165.8,238.0,2091.0,33.6,18.9,139.0,267.39587
2024-01-01 12:00:00,12.45,87.317764,993.96295,0.0,100.0,1.609969,333.43503,163.9,235.2,2041.0,27.2,19.6,187.0,266.71667
2024-01-01 13:00:00,13.25,84.25728,993.0614,0.0,100.0,3.396233,302.00534,157.9,226.8,1970.0,19.5,21.2,242.0,266.11667
2024-01-01 14:00:00,14.05,81.05816,992.3542,0.0,100.0,5.315336,298.30066,159.3,228.6,1967.0,18.4,22.5,270.0,265.65417
2024-01-01 15:00:00,14.45,79.777824,991.8056,0.0,45.0,5.95906,295.01685,157.9,226.8,2044.0,28.6,22.6,249.0,265.84998
2024-01-01 16:00:00,14.2,80.80945,991.4909,0.0,0.0,5.1544156,282.09473,157.4,225.8,2189.0,45.5,22.3,201.0,266.43335
2024-01-01 17:00:00,12.45,87.609344,991.2355,0.0,1.0,5.506941,258.6901,152.7,219.8,2266.0,64.1,24.6,140.0,267.09164
2024-01-01 18:00:00,10.9,85.71189,992.36,0.0,1.0,4.896529,252.89719,179.3,258.0,2810.0,84.5,29.1,107.0,266.97498
2024-01-01 19:00:00,10.45,87.425224,992.9027,0.0,1.0,3.9763298,264.80566,202.6,290.6,3567.0,112.7,35.4,61.0,266.70416
2024-01-01 20:00:00,10.05,88.883446,993.0606,0.0,1.0,3.9763298,264.80566,223.1,320.4,4179.0,134.5,40.6,26.0,266.31665
2024-01-01 21:00:00,9.65,90.37255,993.02374,0.0,0.0,4.6938257,237.52882,238.0,341.8,4526.0,144.7,44.4,11.0,265.91248
2024-01-01 22:00:00,8.95,92.817924,993.05585,0.0,0.0,5.0911684,224.9999,249.6,358.6,4728.0,148.6,47.2,6.0,265.50833
2024-01-01 23:00:00,7.65,95.983444,992.54443,0.0,4.0,5.1165614,219.28938,254.3,365.1,4787.0,147.7,47.1,4.0,265.12085
2024-01-02 00:00:00,6.15,99.31226,992.2078,0.0,34.0,5.692099,214.69522,253.3,363.2,4678.0,142.5,42.4,2.0,264.775
2024-01-02 01:00:00,5.4,99.65353,991.74695,0.0,100.0,6.3690495,227.29063,248.7,357.6,4425.0,132.6,34.7,3.0,264.46246
2024-01-02 02:00:00,5.0,99.30589,991.6115,0.0,100.0,4.1046314,254.74483,234.2,336.2,4102.0,118.4,27.6,8.0,263.95837
2024-01-02 03:00:00,5.15,100.0,991.4311,0.0,100.0,5.937272,284.03625,218.9,314.8,3651.0,95.8,21.8,19.0,263.74588
2024-01-02 04:00:00,5.2,99.652985,991.1438,0.0,100.0,3.319036,310.60123,198.4,285.9,3129.0,68.8,16.6,34.0,264.17505
2024-01-02 05:00:00,5.7,98.966255,991.1915,0.0,100.0,2.5959969,326.3099,188.1,270.1,2660.0,42.5,16.7,34.0,264.27502
2024-01-02 06:00:00,6.05,97.609276,991.9065,0.0,100.0,1.1384199,251.56496,181.1,260.8,2619.0,43.9,16.5,32.0,265.65
2024-01-02 07:00:00,5.8,96.59351,992.5638,0.0,100.0,1.5273507,224.9999,177.0,254.3,2558.0,45.7,16.1,30.0,266.87082
2024-01-02 08:00:00,6.3,92.66989,993.3905,0.0,100.0,2.5959969,213.6901,172.8,247.7,2481.0,45.5,15.1,38.0,267.84167
2024-01-02 09:00:00,7.45,90.21081,994.37555,0.0,100.0,2.9024127,209.7448,164.4,237.0,2385.0,42.1,12.6,62.0,268.54166
2024-01-02 10:00:00,8.25,96.98823,994.8406,0.0,100.0,4.072935,224.9999,162.1,233.8,2273.0,36.7,9.5,96.0,268.75415
2024-01-02 11:00:00,9.4,97.67162,994.36365,0.0,100.0,4.8965297,233.97253,164.4,236.6,2159.0,31.2,8.1,133.0,268.69998
2024-01-02 12:00:00,10.75,89.84501,993.4176,0.0,100.0,5.495161,238.39255,157.9,227.7,2008.0,22.8,9.7,179.0,268.64166
2024-01-02 13:00:00,11.5,87.81675,992.5123,0.0,100.0,4.802999,257.00537,148.5,214.7,1855.0,14.3,13.1,228.0,268.39166
2024-01-02 14:00:00,12.4,83.31847,991.7179,0.0,100.0,4.1046314,285.25516,139.7,202.1,1824.0,15.5,16.4,251.0,267.99997
2024-01-02 15:00:00,13.1,78.78893,991.2945,0.0,41.0,3.096837,324.46225,132.7,192.3,1943.0,32.9,18.8,231.0,267.18335
2024-01-02 16:00:00,13.0,78.509796,990.79834,0.0,0.0,2.2768397,18.435053,130.9,189.1,2184.0,60.0,21.2,185.0,266.13336
2024-01-02 17:00:00,12.4,81.108955,990.6464,0.0,0.0,3.563818,44.999897,142.0,204.9,2335.0,82.2,21.7,121.0,265.0292
2024-01-02 18:00:00,10.35,85.36368,991.72504,0.0,0.0,2.52,270.0,169.5,244.9,2930.0,100.1,27.1,91.0,264.5833
2024-01-02 19:00:00,9.55,88.84181,991.9431,0.0,0.0,2.52,270.0,196.0,282.2,3760.0,124.9,34.7,50.0,264.175
2024-01-02 20:00:00,8.95,91.87473,991.9847,0.0,0.0,2.9024127,262.8751,217.5,312.9,4443.0,144.5,40.6,18.0,263.9
2024-01-02 21:00:00,6.45,97.28053,991.84686,0.0,0.0,5.154415,245.22488,230.0,331.6,4858.0,155.0,43.7,5.0,263.6667
2024-01-02 22:00:00,5.45,98.96418,991.84924,0.0,0.0,7.9036193,239.9315,239.3,344.6,5127.0,160.3,45.2,1.0,263.3333
2024-01-02 23:00:00,6.25,98.6298,991.7308,0.0,9.0,6.638072,257.4712,247.7,356.7,5237.0,160.3,45.3,0.0,262.9041
2024-01-03 00:00:00,6.9,98.298676,991.4029,0.0,68.0,6.0347,287.3541,244.9,353.0,5171.0,154.1,43.9,2.0,262.62912
2024-01-03 01:00:00,6.05,100.0,991.41974,0.0,100.0,5.991594,302.7352,240.3,345.5,4945.0,142.6,41.0,7.0,262.27917
2024-01-03 02:00:00,4.6,99.6513,991.3784,0.0,100.0,4.8965297,323.97253,225.4,325.0,4595.0,128.0,37.1,13.0,261.92914
2024-01-03 03:00:00,4.25,97.57476,991.05273,0.0,100.0,3.2599385,6.3401003,194.2,280.3,4019.0,107.9,31.2,20.0,261.5625
2024-01-03 04:00:00,4.25,97.23257,990.9553,0.0,100.0,3.0547013,44.999897,185.3,267.3,3318.0,84.7,24.2,28.0,260.53333
2024-01-03 05:00:00,3.85,99.29942,991.014,0.0,100.0,2.968636,75.96373,182.1,261.7,2568.0,43.5,16.1,38.0,259.9875
2024-01-03 06:00:00,4.7,98.95794,991.8744,0.0,100.0,2.52,90.0,176.5,253.3,2550.0,44.5,17.2,34.0,259.7375
2024-01-03 07:00:00,5.0,98.27273,992.48755,0.0,100.0,0.35999998,270.0,173.2,248.7,2524.0,45.9,18.6,29.0,259.5458
2024-01-03 08:00:00,4.95,97.92963,993.2612,0.0,100.0,2.3051248,321.34018,169.0,243.1,2490.0,46.0,19.2,36.0,259.38748
