datetime,temperature_2m,relative_humidity_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,aqi_change_rate,aqi_lag_1h,aqi_lag_24h,aqi_rolling_mean_6h,aqi_rolling_std_6h,pm25_rolling_mean_6h
2024-01-02 00:00:00,6.15,99.31226,992.2078,0.0,34.0,5.692099,214.69522,253.3,363.2,4678.0,142.5,42.4,2.0,264.775,0,2,1,1,0,0.0,1.0,0.0,1.0,0.0,264.775,264.775,264.775,0.0,253.3
2024-01-02 01:00:00,5.4,99.65353,991.74695,0.0,100.0,6.3690495,227.29063,248.7,357.6,4425.0,132.6,34.7,3.0,264.46246,1,2,1,1,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.0,264.775,264.46246,264.61873,0.2209991533920324,251.0
2024-01-02 02:00:00,5.0,99.30589,991.6115,0.0,100.0,4.1046314,254.74483,234.2,336.2,4102.0,118.4,27.6,8.0,263.95837,2,2,1,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.001180398406934,264.46246,263.95837,264.39861,0.4120421775741032,245.4
2024-01-02 03:00:00,5.15,100.0,991.4311,0.0,100.0,5.937272,284.03625,218.9,314.8,3651.0,95.8,21.8,19.0,263.74588,3,2,1,1,0,0.7071067811865475,0.7071067811865476,0.0,1.0,-0.0019060927624249,263.95837,263.74588,264.2354275,0.4687216131404784,238.775
2024-01-02 04:00:00,5.2,99.652985,991.1438,0.0,100.0,3.319036,310.60123,198.4,285.9,3129.0,68.8,16.6,34.0,264.17505,4,2,1,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.0008050132751989,263.74588,264.17505,264.223352,0.406821891581574,230.7
2024-01-02 05:00:00,5.7,98.966255,991.1915,0.0,100.0,2.5959969,326.3099,188.1,270.1,2660.0,42.5,16.7,34.0,264.27502,5,2,1,1,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.0016272101908393,264.17505,264.27502,264.23196333333334,0.3644834311003367,223.6
2024-01-02 06:00:00,6.05,97.609276,991.9065,0.0,100.0,1.1384199,251.56496,181.1,260.8,2619.0,43.9,16.5,32.0,265.65,6,2,1,1,0,1.0,6.123233995736766e-17,0.0,1.0,0.0003784233076354,264.27502,265.65,264.37779666666665,0.671204269612963,211.5666666666667
2024-01-02 07:00:00,5.8,96.59351,992.5638,0.0,100.0,1.5273507,224.9999,177.0,254.3,2558.0,45.7,16.1,30.0,266.87082,7,2,1,1,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0052028373622736,265.65,266.87082,264.77919,1.2242445564510398,199.61666666666667
2024-01-02 08:00:00,6.3,92.66989,993.3905,0.0,100.0,2.5959969,213.6901,172.8,247.7,2481.0,45.5,15.1,38.0,267.84167,8,2,1,1,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.0045955955356448,266.87082,267.84167,265.42640666666665,1.654422888280617,189.38333333333333
2024-01-02 09:00:00,7.45,90.21081,994.37555,0.0,100.0,2.9024127,209.7448,164.4,237.0,2385.0,42.1,12.6,62.0,268.54166,9,2,1,1,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.0036379022765434,267.84167,268.54166,266.22570333333334,1.8293691782543304,180.3
2024-01-02 10:00:00,8.25,96.98823,994.8406,0.0,100.0,4.072935,224.9999,162.1,233.8,2273.0,36.7,9.5,96.0,268.75415,10,2,1,1,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.0026134468690606,268.54166,268.75415,266.98888666666664,1.7564810618242122,174.25
2024-01-02 11:00:00,9.4,97.67162,994.36365,0.0,100.0,4.8965297,233.97253,164.4,236.6,2159.0,31.2,8.1,133.0,268.69998,11,2,1,1,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.0007912738458802,268.75415,268.69998,267.72638,1.2430219799668387,170.29999999999998
2024-01-02 12:00:00,10.75,89.84501,993.4176,0.0,100.0,5.495161,238.39255,157.9,227.7,2008.0,22.8,9.7,179.0,268.64166,12,2,1,1,0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.0002015596707414,268.69998,268.64166,268.22499,0.742998007373416,166.43333333333337
2024-01-02 13:00:00,11.5,87.81675,992.5123,0.0,100.0,4.802999,257.00537,148.5,214.7,1855.0,14.3,13.1,228.0,268.39166,13,2,1,1,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0,-0.0002170450397113,268.64166,268.39166,268.4784633333333,0.33726556614577,161.68333333333337
2024-01-02 14:00:00,12.4,83.31847,991.7179,0.0,100.0,4.1046314,285.25516,139.7,202.1,1824.0,15.5,16.4,251.0,267.99997,14,2,1,1,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.0009306076752724,268.39166,267.99997,268.50484666666665,0.2785727730910583,156.16666666666666
2024-01-02 15:00:00,13.1,78.78893,991.2945,0.0,41.0,3.096837,324.46225,132.7,192.3,1943.0,32.9,18.8,231.0,267.18335,15,2,1,1,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,-0.001459397007366,267.99997,267.18335,268.27846166666666,0.6042369003441698,150.88333333333333
2024-01-02 16:00:00,13.0,78.509796,990.79834,0.0,0.0,2.2768397,18.435053,130.9,189.1,2184.0,60.0,21.2,185.0,266.13336,16,2,1,1,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0,-0.0030470897796335,267.18335,266.13336,267.8416633333333,1.0055780650488366,145.68333333333334
2024-01-02 17:00:00,12.4,81.108955,990.6464,0.0,0.0,3.563818,44.999897,142.0,204.9,2335.0,82.2,21.7,121.0,265.0292,17,2,1,1,0,-0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.003929848026464,266.13336,265.0292,267.2298666666667,1.4130398265820805,141.95000000000002
2024-01-02 18:00:00,10.35,85.36368,991.72504,0.0,0.0,2.52,270.0,169.5,244.9,2930.0,100.1,27.1,91.0,264.5833,18,2,1,1,0,-1.0,-1.8369701987210297e-16,0.0,1.0,-0.0041488972239745,265.0292,264.5833,266.55347333333333,1.565216586567762,143.88333333333333
2024-01-02 19:00:00,9.55,88.84181,991.9431,0.0,0.0,2.52,270.0,196.0,282.2,3760.0,124.9,34.7,50.0,264.175,19,2,1,1,0,-0.9659258262890684,0.2588190451025203,0.0,1.0,-0.001682456058334,264.5833,264.175,265.8506966666667,1.520812265266987,151.79999999999998
2024-01-02 20:00:00,8.95,91.87473,991.9847,0.0,0.0,2.9024127,262.8751,217.5,312.9,4443.0,144.5,40.6,18.0,263.9,20,2,1,1,0,-0.8660254037844386,0.5000000000000001,0.0,1.0,-0.0015431812384537,264.175,263.9,265.16736833333334,1.2608382678266743,164.76666666666668
2024-01-02 21:00:00,6.45,97.28053,991.84686,0.0,0.0,5.154415,245.22488,230.0,331.6,4858.0,155.0,43.7,5.0,263.6667,21,2,1,1,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,-0.0010409765859383,263.9,263.6667,264.58126,0.9028013274243648,180.9833333333333
2024-01-02 22:00:00,5.45,98.96418,991.84924,0.0,0.0,7.9036193,239.9315,239.3,344.6,5127.0,160.3,45.2,1.0,263.3333,22,2,1,1,0,-0.5000000000000004,0.8660254037844384,0.0,1.0,-0.0008840469539958,263.6667,263.3333,264.1145833333333,0.6191798233677117,199.05
2024-01-02 23:00:00,6.25,98.6298,991.7308,0.0,9.0,6.638072,257.4712,247.7,356.7,5237.0,160.3,45.3,0.0,262.9041,23,2,1,1,0,-0.25881904510252157,0.9659258262890681,0.0,1.0,-0.0012644751398459,263.3333,262.9041,263.7604,0.598830446786771,216.66666666666663
2024-01-03 00:00:00,6.9,98.298676,991.4029,0.0,68.0,6.0347,287.3541,244.9,353.0,5171.0,154.1,43.9,2.0,262.62912,0,3,1,2,0,0.0,1.0,0.0,1.0,-0.0016298735621406,262.9041,264.775,263.43470333333335,0.5931525328828664,229.2333333333333
2024-01-03 01:00:00,6.05,100.0,991.41974,0.0,100.0,5.991594,302.7352,240.3,345.5,4945.0,142.6,41.0,7.0,262.27917,1,3,1,2,0,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.0010459326786486,262.62912,264.46246,263.1187316666667,0.6240735856092506,236.61666666666667
2024-01-03 02:00:00,4.6,99.6513,991.3784,0.0,100.0,4.8965297,323.97253,225.4,325.0,4595.0,128.0,37.1,13.0,261.92914,2,3,1,2,0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.0013324873748771,262.27917,263.95837,262.790255,0.6487997846395709,237.9333333333333
