feature,mean_abs_shap,mean_abs_shap_pct,rank
us_aqi,37.438393496322405,62.99886666786002,1
aqi_rolling_mean_6h,9.738364618923866,16.38707959653384,2
aqi_change_rate,2.991356116868882,5.033657365165039,3
aqi_lag_1h,2.9653070875433705,4.989823771571706,4
ozone,0.8122663920585043,1.366828470807757,5
pm25_rolling_mean_6h,0.7277072469625488,1.22453790195705,6
aqi_lag_24h,0.6916027909979583,1.1637836976493172,7
pm2_5,0.596841206469509,1.0043251346228521,8
month_sin,0.5712932949036506,0.9613347890425084,9
aqi_rolling_std_6h,0.4621325122258412,0.7776462022457996,10
temperature_2m,0.4278787013688233,0.7200061418286948,11
month_cos,0.34024920819964455,0.572548993143094,12
sulphur_dioxide,0.2713272577619721,0.4565716671785517,13
pm10,0.25340209072715353,0.42640837483171046,14
hour_sin,0.18353388477699684,0.30883875231548574,15
wind_direction_10m,0.1532036789165694,0.25780107637467625,16
relative_humidity_2m,0.15013721533189794,0.2526410331016778,17
surface_pressure,0.13083758408511956,0.22016488276221172,18
cloud_cover,0.1301179939498477,0.21895400380203536,19
carbon_monoxide,0.09804429423362805,0.16498249105094506,20
month,0.08516045168658673,0.14330240804015856,21
nitrogen_dioxide,0.05683085987080623,0.09563123385549252,22
is_weekend,0.04559814379689034,0.07672955789741308,23
wind_speed_10m,0.038725264261884364,0.06516432816893561,24
day_of_week,0.038579420317139936,0.06491891156925776,25
hour_cos,0.013596323733904696,0.022878999500057673,26
precipitation,0.007078899057433448,0.011911905833200268,27
day,0.006394958776390131,0.010761016103424358,28
hour,0.0011294862496153849,0.0019006251870740828,29
